smiles,FishAT,DMAT,AlgAT,FishCT,DMCT,AlgCT,group
O=S(=O)(O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F.OCCNCCO,1,,,,,,train
O=C(O)C=C(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,1,,,,,,train
O=S(=O)(O)C(F)(F)C(F)(F)OC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)Cl,1,,,,,,train
OC(Cn1cncn1)(c1ccc(F)cc1)c1ccccc1F,1,,,,,,test
CNC1CCC(c2ccc(Cl)c(Cl)c2)c2ccccc21,1,,,,,,train
CCC(C)(C)C(=O)OC1CC(C)C=C2C=CC(C)C(CCC3CC(O)CC(=O)O3)C21,1,,,,,,train
CCCCC(O)(Cn1cncn1)c1ccc(Cl)cc1Cl,1,,,,,,train
NCc1cc(C(F)(F)F)cc(C(F)(F)F)c1,1,,,,,,train
CCCCC(C#N)(Cn1cncn1)c1ccc(Cl)cc1,1,,,,,,valid
CC(C1CC1)C(O)(Cn1cncn1)c1ccc(Cl)cc1,1,,,,,,train
C=C1C(=O)NC(C)C(=O)NC(CC(C)C)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,1,,,,,,train
C=C1C(=O)NC(C)C(=O)NC(Cc2ccc(O)cc2)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,1,,,,,,train
O=C(NC(=O)c1c(F)cccc1F)Nc1cc(Cl)c(OC(F)(F)C(F)C(F)(F)F)cc1Cl,1,,,,,,train
CC(C)(C)C(O)(CCc1ccc(Cl)cc1)Cn1cncn1,1,,,,,,test
C=C1C(=O)NC(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C(=O)O)C(C)C(=O)NC(CCCN=C(N)N)C(=O)NC(C=CC(C)=CC(C)C(Cc2ccccc2)OC)C(C)C(=O)NC(C(=O)O)CCC(=O)N1C,1,,,,,,train
N#CN=C1SCCN1Cc1ccc(Cl)nc1,1,,,,,,train
FC(F)C(F)(F)OCC(Cn1cncn1)c1ccc(Cl)cc1Cl,1,,,,,,train
N#CC(CCc1ccc(Cl)cc1)(Cn1cncn1)c1ccccc1,1,,,,,,train
Clc1ccc(C2(Cn3cncn3)CC(Br)CO2)c(Cl)c1,1,,,,,,valid
COC=C(C(=O)OC)c1ccccc1COc1cccc(C(F)(F)F)n1,1,,,,,,train
CC1COC(Cn2cncn2)(c2ccc(Oc3ccc(Cl)cc3)cc2Cl)O1,1,,,,,,train
CC1(C)CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1,,,,,,train
CC(C)C1CCC(Cc2ccc(Cl)cc2)C1(O)Cn1cncn1,1,,,,,,train
COC=C(C(=O)OC)c1ccccc1Oc1cc(Oc2ccccc2C#N)ncn1,1,,,,,,test
CC(=NC#N)N(C)Cc1ccc(Cl)nc1,1,,,,,,train
O=[N+]([O-])N=C1NCCN1Cc1ccc(Cl)nc1,0,,,,,,train
COc1n[nH]c2ncc(C#Cc3c(F)ccc(NS(=O)(=O)c4ccccc4C)c3F)cc12,1,,,,,,train
CON=C(C(=O)OC)c1ccccc1COc1ccccc1C,1,,,,,,train
CNC(=O)C(=NOC)c1ccccc1COc1cc(C)ccc1C,1,,,,,,valid
CN1COCN(Cc2cnc(Cl)s2)C1=N[N+](=O)[O-],0,,,,,,train
CN=C(NCC1CCOC1)N[N+](=O)[O-],1,,,,,,train
COC(=O)N(OC)c1ccccc1COc1ccn(-c2ccc(Cl)cc2)n1,1,,,,,,train
OC(Cc1ccccc1Cl)(Cn1[nH]cnc1=S)C1(Cl)CC1,1,,,,,,train
Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,1,,,,,,test
CON=C(C1=NOCCO1)c1ccccc1Oc1ncnc(Oc2ccccc2Cl)c1F,1,,,,,,train
CCOC(=O)OC1=C(c2cc(C)ccc2C)C(=O)NC12CCC(OC)CC2.Cc1cc(C(F)(C(F)(F)F)C(F)(F)F)ccc1NC(=O)c1cccc(I)c1C(=O)NC(C)(C)CS(C)(=O)=O,1,,,,,,train
CN(C(=O)c1ccccc1)c1cccc(C(=O)Nc2c(Br)cc(C(F)(C(F)(F)F)C(F)(F)F)cc2C(F)(F)F)c1F,1,,,,,,train
C=O,0,,,,,,train
CC(O)C(=O)O,0,,,,,,valid
O=C(O)c1c(Cl)cccc1Cl,0,,,,,,train
O=C(O)c1c(Cl)ccc(Cl)c1Cl,1,,,,,,train
O=C(Nc1ccc([N+](=O)[O-])cc1Cl)c1cc(Cl)ccc1O,1,,,,,,train
CCCCOCCOCCOCc1cc2c(cc1CCC)OCO2,1,,,,,,train
O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,1,,,,,,test
CCOC(N)=O,0,,,,,,train
O=[N+]([O-])C(Br)(CO)CO,1,,,,,,train
CCOP(=S)(OCC)Oc1cc(C)c(SC)c(C)c1,1,,,,,,train
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,1,,,,,,train
CN1CCCC1c1cccnc1,1,,,,,,valid
O=C(O)c1ccccc1O,0,,,,,,train
NC(=O)c1ccccc1,0,,,,,,train
COP(=S)(OC)Oc1cc(C)c(SC)c(C)c1,1,,,,,,train
COP(=S)(OC)Oc1ccc(SC)c(C)c1,1,,,,,,train
CN(CCCl)CCCl,1,,,,,,test
ClC(Cl)(Cl)Cl,1,,,,,,train
CC[N+](CC)(CC)Cc1ccccc1,0,,,,,,train
CCOP(=S)(OCC)Oc1ccc([N+](=O)[O-])cc1,1,,,,,,train
